,Name,Partner,Technologies,Industry,Processed_CV,Processed_CV_list
78,Isabel Ramirez,QuantumMed Innovations,"Vue.js, Java, PostgreSQL",Healthcare,"1. Biomedical Engineering
2. Healthcare Application Development
3. Software Engineering
4. Medical Technology Innovation
5. Database Management (PostgreSQL)","['Biomedical Engineering', 'Healthcare Application Development', 'Software Engineering', 'Medical Technology Innovation', 'Database Management (PostgreSQL)']"
79,Mauricio Pena,EcoFusion Energy,"React, Django, MySQL",Renewable Energy,"1. Renewable Energy Engineering
2. Software Development
3. Web Development (React, Django)
4. Data Visualization
5. Energy Management Solutions","['Renewable Energy Engineering', 'Software Development', 'Web Development (React, Django)', 'Data Visualization', 'Energy Management Solutions']"
80,Catalina Cruz,Stellar Financial,"Angular, Kotlin, Cassandra",Finance,"1. Financial Software Development
2. Investment Decision Support
3. Financial Data Analysis
4. Financial Growth Strategies
5. Advanced Financial Modeling","['Financial Software Development', 'Investment Decision Support', 'Financial Data Analysis', 'Financial Growth Strategies', 'Advanced Financial Modeling']"
81,Catalina Cruz,Stellar Financial,"Angular, Kotlin, Cassandra",Venture Capital,"1. Financial Software Development
2. Investment Decision Support
3. Financial Data Analysis
4. Financial Growth Strategies
5. Advanced Financial Modeling","['Financial Software Development', 'Investment Decision Support', 'Financial Data Analysis', 'Financial Growth Strategies', 'Advanced Financial Modeling']"
82,Francisco Moreno,AeroSpace Dynamics,"React, Spring Boot, PostgreSQL",Aerospace,"1. Aerospace Software Development
2. Performance Optimization for Aerospace Applications
3. Reliability Engineering
4. Full-Stack Development (React, Spring Boot, PostgreSQL)
5. Engineering Solutions for Aerospace Technology","['Aerospace Software Development', 'Performance Optimization for Aerospace Applications', 'Reliability Engineering', 'Full-Stack Development (React, Spring Boot, PostgreSQL)', 'Engineering Solutions for Aerospace Technology']"
83,Laura Ortega,Oceanic Foods,"Vue.js, Node.js, SQLite",Food Industry,"1. Food Science
2. Food Safety
3. Software Development
4. Application Development
5. Product Quality Control","['Food Science', 'Food Safety', 'Software Development', 'Application Development', 'Product Quality Control']"
84,Emiliano Reyes,SilverLine Apparel,"React, Python, MariaDB",Fashion & Apparel,"1. Fashion Technology Integration
2. Application Development 
3. User Experience Design
4. Trend Analysis and Forecasting
5. Database Management","['Fashion Technology Integration', 'Application Development', 'User Experience Design', 'Trend Analysis and Forecasting', 'Database Management']"
85,Carolina Guzman,ClearView Analytics,"Angular, Java, MySQL",Data Analytics,"1. Data Analytics
2. Machine Learning
3. Data Visualization
4. Analytical Solutions Development
5. Data-Driven Decision Making","['Data Analytics', 'Machine Learning', 'Data Visualization', 'Analytical Solutions Development', 'Data-Driven Decision Making']"
86,Lucas Fuentes,PulseTech Systems,"Vue.js, Flask, PostgreSQL",Technology,"1. Frontend Development (Vue.js)
2. Backend Development (Flask)
3. Database Management (PostgreSQL)
4. Software Development Practices
5. Team Collaboration and Problem Solving","['Frontend Development (Vue.js)', 'Backend Development (Flask)', 'Database Management (PostgreSQL)', 'Software Development Practices', 'Team Collaboration and Problem Solving']"
87,Natalia Acosta,Horizon BioSciences,"React, Ruby on Rails, MySQL",Biotechnology,"1. Biotechnology Applications
2. Web Development
3. Data Analysis
4. Software Development for Scientific Research
5. Research Efficiency and Data Management in Biotech","['Biotechnology Applications', 'Web Development', 'Data Analysis', 'Software Development for Scientific Research', 'Research Efficiency and Data Management in Biotech']"
88,Pablo Mendez,GlobalReach Consulting,"Angular, Python, MongoDB",Consulting,"1. Business Analytics
2. Business Intelligence
3. Data Analytics
4. Market Research
5. Technology Implementation (Angular, Python, MongoDB)","['Business Analytics', 'Business Intelligence', 'Data Analytics', 'Market Research', 'Technology Implementation (Angular, Python, MongoDB)']"
89,Sofia Vargas,PeakPerformance Sports,"Vue.js, JavaScript, Cassandra",Sports & Fitness,"1. Sports Technology
2. Software Development
3. Web Development
4. User Experience
5. Sports Management","['Sports Technology', 'Software Development', 'Web Development', 'User Experience', 'Sports Management']"
90,Gonzalo Romero,UrbanNest Realty,"React, Kotlin, PostgreSQL",Real Estate,"1. Real Estate Technology Integration
2. Application Development for Property Management
3. Web Development using React
4. Real Estate Market Analysis
5. Database Management with PostgreSQL","['Real Estate Technology Integration', 'Application Development for Property Management', 'Web Development using React', 'Real Estate Market Analysis', 'Database Management with PostgreSQL']"
91,Silvia Leon,SolarFlare Power,"Angular, Ruby on Rails, MySQL",Renewable Energy,"1. Renewable Energy Technology
2. Software Development for Sustainability
3. Web Development (Angular, Ruby on Rails)
4. Environmental Engineering
5. Database Management (MySQL)","['Renewable Energy Technology', 'Software Development for Sustainability', 'Web Development (Angular, Ruby on Rails)', 'Environmental Engineering', 'Database Management (MySQL)']"
92,Camilo Torres,CloudBridge Networks,"React, Node.js, PostgreSQL",Telecommunications,"1. Cloud Computing
2. Software Development
3. Network Security
4. Application Development with React and Node.js
5. Database Management with PostgreSQL","['Cloud Computing', 'Software Development', 'Network Security', 'Application Development with React and Node.js', 'Database Management with PostgreSQL']"
93,Diego Valenzuela,Infinity Motors,"Vue.js, Python, MongoDB",Automotive,"1. Automotive Design and Functionality
2. Vehicle Performance Enhancement
3. Mechanical Engineering Applications
4. Web Development with Vue.js
5. Software Development using Python and MongoDB","['Automotive Design and Functionality', 'Vehicle Performance Enhancement', 'Mechanical Engineering Applications', 'Web Development with Vue.js', 'Software Development using Python and MongoDB']"
94,Lucia Herrera,NextGen Entertainment,"Angular, Flask, PostgreSQL",Entertainment,"1. Engaging Media Applications Development
2. Web Development using Angular and Flask
3. Content Strategy for Media Platforms
4. Database Management with PostgreSQL
5. Media Studies and Analysis","['Engaging Media Applications Development', 'Web Development using Angular and Flask', 'Content Strategy for Media Platforms', 'Database Management with PostgreSQL', 'Media Studies and Analysis']"
95,Rafael Fernandez,VentureVibe Capital,"React, Django, MySQL",Finance,"1. Financial Software Development
2. Investment Management Solutions
3. Financial Insights and Analysis
4. Use of React, Django, and MySQL Technologies
5. Integration of Finance and Technology","['Financial Software Development', 'Investment Management Solutions', 'Financial Insights and Analysis', 'Use of React, Django, and MySQL Technologies', 'Integration of Finance and Technology']"
